Instrument,Spot,Sample,Label,Type,Min,Ca_per,Mg_per,Sr_ppm,Fe_ppm,Mn_ppm,S_per,Formation,Generation
Caltech,40,WS 7_7_H1,Oo,ooid,CA,39.139,0.685,0,1831.59,367.62,0.075,Shuram,1
Caltech,41,WS 7_7_H1,Oo,ooid,CA,39.599,0.539,0,6634.53,696.82,0.059,Shuram,1
Caltech,42,WS 7_7_H1,Oo,ooid,CA,39.391,0.556,0,3704.19,612.71,0.051,Shuram,1
Caltech,43,WS 7_7_H1,Oo,ooid,CA,39.388,0.532,0,3502.01,806.76,0.044,Shuram,1
Caltech,44,WS 7_7_H1,Oo,ooid,CA,39.09,0.591,0,4676.89,603.9,0.048,Shuram,1
Caltech,45,WS 7_7_H1,Oo,ooid,CA,39.811,0.523,0,1884.36,904.08,0.046,Shuram,1
Caltech,46,WS 7_7_H1,Oo,ooid,CA,39.343,0.59,0,2082.23,0,0.051,Shuram,1
Caltech,47,WS 7_7_H1,Oo,ooid,CA,39.632,0.533,0,745.41,409.73,0.052,Shuram,1
Caltech,48,WS 7_7_H1,Oo,ooid,CA,40.328,0.461,0,1224.06,1220.26,0.045,Shuram,1
Caltech,49,WS 7_7_H1,Oo,ooid,CA,38.798,0.611,0,2183.9,654.91,0.053,Shuram,1
Caltech,50,WS 7_7_H1,Oo,ooid,CA,39.79,0.507,0,995.64,481.73,0.044,Shuram,1
Caltech,51,WS 7_7_H1,Oo,ooid,CA,39.443,0.624,613.95,1532.2,422.5,0.036,Shuram,1
Caltech,52,WS 7_7_H1,Oo,ooid,CA,39.199,0.538,0,1053.35,815.78,0.037,Shuram,1
Caltech,53,WS 7_7_H1,Oo,ooid,CA,37.261,0.617,643.99,4988.48,545.17,0.058,Shuram,1
Caltech,55,WS 7_7_H1,Oo,ooid,CA,39.616,0.588,0,1049.45,591.89,0.054,Shuram,1
Caltech,56,WS 7_7_H1,Oo,ooid,CA,39.254,0.606,0,1511.97,600.03,0.053,Shuram,1
Caltech,57,WS 7_7_H1,Oo,ooid,CA,38.546,0.659,0,5866.05,439.28,0.045,Shuram,1
Caltech,73,WS_7_7_F1,Oo,ooid,CA,39.873,0.512,0,621.84,869.18,0.032,Shuram,1
Caltech,74,WS_7_7_F1,Oo,ooid,CA,39.233,0.52,0,1109.81,743.3,0.059,Shuram,1
Caltech,75,WS_7_7_F1,Oo,ooid,CA,40.154,0.485,0,1537.14,885.43,0.049,Shuram,1
Caltech,76,WS_7_7_F1,Oo,ooid,CA,38.385,0.525,0,2341.39,939.63,0.068,Shuram,1
Caltech,77,WS_7_7_F1,Oo,ooid,CA,38.449,0.365,0,3939.17,636.26,0.083,Shuram,1
Caltech,78,WS_7_7_F1,Oo,ooid,CA,39.812,0.573,0,1595.36,599.07,0.037,Shuram,1
Caltech,79,WS_7_7_F1,Oo,ooid,CA,39.676,0.311,0,1410.59,674.68,0.013,Shuram,1
Caltech,80,WS_7_7_F1,Oo,ooid,CA,39.681,0.554,0,966.05,388.39,0.061,Shuram,1
Caltech,81,WS_7_7_F1,Oo,ooid,CA,40.766,0.19,0,1165.39,447.07,0,Shuram,1
Caltech,82,WS_7_7_F1,Oo,ooid,CA,41.41,0.461,0,824.95,834.07,0.039,Shuram,1
Caltech,83,WS_7_7_F1,Oo,ooid,CA,40.772,0.482,0,1742.65,808.19,0.052,Shuram,1
Caltech,84,WS_7_7_F1,Oo,ooid,CA,40.169,0.607,0,1938.68,677.71,0.047,Shuram,1
Caltech,85,WS_7_7_F1,Oo,ooid,CA,40.734,0.534,0,722.45,841.97,0.056,Shuram,1
Caltech,86,WS_7_7_F1,Oo,ooid,CA,40.653,0.532,0,907.57,548.15,0.042,Shuram,1
Caltech,87,WS_7_7_F1,Oo,ooid,CA,38.811,0.617,0,4887.13,594.61,0.053,Shuram,1
Caltech,88,WS_7_7_F1,Oo,ooid,CA,40.142,0.556,0,1807.72,847.83,0.042,Shuram,1
Caltech,89,WS_7_7_F1,Oo,ooid,CA,40.693,0.534,0,789.31,1008.15,0.033,Shuram,1
Caltech,99,MDS_24_6,Oo,ooid,CA,40.917,0.411,0,732.1,333.26,0.023,Shuram,1
Caltech,100,MDS_24_6,Oo,ooid,CA,39.229,0.54,0,784.89,311.97,0.045,Shuram,1
Caltech,101,MDS_24_6,Oo,ooid,CA,39.15,0.511,0,1738.05,0,0.04,Shuram,1
Caltech,102,MDS_24_6,Oo,ooid,CA,39.923,0.519,0,1194.94,0,0.049,Shuram,1
Caltech,103,MDS_24_6,Oo,ooid,CA,40.402,0.551,0,577.06,493.87,0.034,Shuram,1
Caltech,104,MDS_24_6,Oo,ooid,CA,40.004,0.397,0,409.28,726.06,0.043,Shuram,1
Caltech,105,MDS_24_6,Oo,ooid,CA,41.111,0.499,0,450.16,0,0.036,Shuram,1
Caltech,106,MDS_24_6,Oo,ooid,CA,40.913,0.521,0,1779.13,898.52,0.04,Shuram,1
Caltech,107,MDS_24_6,Oo,ooid,CA,41.93,0.413,618.72,642.31,1046.61,0.012,Shuram,1
Caltech,108,MDS_24_6,Oo,ooid,CA,39.56,0.48,0,1117.46,0,0.047,Shuram,1
Caltech,109,MDS_24_6,Oo,ooid,CA,39.495,0.384,741.5,989.91,932.34,0.018,Shuram,1
