Sample,Location,Country_Min,Formation,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower
NRT_3_B,Oman,Oman_DL,Cement,3,93,2.55,6.317598997,7.4,1.5,1.6,3,3.1,3,3,0.5583,0.0189,0.0378,0.0215,0.0371,37.8,7,7.5,13.6,15.6,13.4,15.3,0.2857,0.0843,0.1333,0.1664,Dolomite,,,,,,,,,,Oman,Oman_DL,Cement,40.9,8.867598997,8.4,2.9,3,7.4,3,3,3,8.8,2.6,2.6,11.3,2.7,2.7,9.6,9.6,2.7,2.5
WBT_6_B,Oman,Oman_CA,Cement,3,93.4,-7.87,-9.314288965,-7.2,1.2,1.1,2.3,2.3,2.3,2.3,0.5756,0.0172,0.0344,0.0244,0.0338,31.4,6,6.4,11.7,13.2,11.5,13,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,34.1,-17.18428897,-8.6,2.6,2.6,-9.6,2.7,2.7,2.7,-8.1,2.4,2.3,-5.7,2.4,2.3,-7.2,-7.2,2.3,2.3
BD1_15.5_A,Oman,Oman_CA,CementBurial,3,89.6,2.78,-1.825832053,4.9,1.3,1.4,2.7,2.8,2.6,2.8,0.5103,0.0184,0.0368,0.0383,0.0361,58.1,8.2,8.9,15.9,18.6,15.6,18.2,0.3371,0.0578,0.0722,0.114,Calcite,,,,,,,,,,Oman,Oman_CA,CementBurial,62.3,0.954167947,4,2.8,2.8,3.2,2.9,2.9,2.9,4,2.6,2.5,6.6,2.9,2.7,4.9,4.9,2.8,2.6
BD1_15.5_C,Oman,Oman_CA,CementBurial,3,87.3,0.2,-3.727046502,1.8,1.2,1.3,2.4,2.6,2.4,2.6,0.5261,0.0175,0.035,0.0317,0.0343,51,7.4,7.9,14.2,16.4,14,16.1,0.3036,0.0776,0.0949,0.1532,Calcite,,,,,,,,,,Oman,Oman_CA,CementBurial,54.8,-3.527046502,0.8,2.7,2.6,0,2.7,2.8,2.8,1,2.4,2.4,3.5,2.7,2.5,1.8,1.8,2.6,2.4
BD1_ZEBRA_70_m_A,Oman,Oman_CA,CementBurial,3,91.3,2.99,-9.585891029,1,1.4,1.4,2.7,2.9,2.6,2.8,0.4594,0.0174,0.0348,0.0205,0.0341,84.7,9.8,10.7,18.8,22.3,18.4,21.8,0.2142,0.0474,0.0593,0.0935,Calcite,,,,,,,,,,Oman,Oman_CA,CementBurial,90.6,-6.595891029,0.2,2.6,2.7,-0.6,2.8,2.7,2.7,-0.2,2.3,2.4,2.9,2.9,2.8,1,1,2.8,2.6
BD1_ZEBRA_70_m_B1,Oman,Oman_CA,CementBurial,3,88.1,1.59,-8.528582994,0.8,1.4,1.3,2.6,2.8,2.6,2.7,0.4759,0.0173,0.0346,0.0092,0.034,75.4,9,9.8,17.3,20.4,17.1,20,0.2121,0.0475,0.0828,0.0938,Calcite,,,,,,,,,,Oman,Oman_CA,CementBurial,80.7,-6.938582994,-0.1,2.7,2.6,-0.8,2.7,2.8,2.8,-0.3,2.3,2.4,2.6,2.8,2.7,0.8,0.8,2.7,2.6
BD1_ZEBRA_70_m_B2,Oman,Oman_CA,CementBurial,3,88,3.32,-9.459790071,0.3,1.3,1.4,2.6,2.8,2.5,2.8,0.4694,0.0171,0.0342,0.0204,0.0335,78.9,9.2,10,17.7,20.8,17.3,20.3,0.1032,0.0643,0.0996,0.1268,Calcite,,,,,,,,,,Oman,Oman_CA,CementBurial,84.5,-6.139790071,-0.5,2.6,2.6,-1.2,2.6,2.7,2.7,-0.8,2.3,2.3,2.2,2.8,2.7,0.3,0.3,2.8,2.5
BD4_30_35.1_A,Oman,Oman_DL,CementBurial,3,97.8,-4.14,-11.27833473,-1.5,1.4,1.3,2.7,2.6,2.7,2.6,0.4502,0.0167,0.0334,0.0113,0.0328,90.2,9.8,10.7,18.9,22.4,18.6,22,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,96.6,-15.41833473,-0.8,2.5,2.6,-1.5,2.6,2.7,2.7,-1.3,2.3,2.3,1.9,2.8,2.7,0,0,2.8,2.6
BD4_30_35.1_B,Oman,Oman_DL,CementBurial,3,96.9,-4.28,-10.62842979,-3.3,1.4,1.3,2.7,2.7,2.7,2.6,0.4808,0.0168,0.0336,0.005,0.033,72.7,8.6,9.2,16.5,19.3,16.2,18.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,77.9,-14.90842979,-2.6,2.6,2.5,-3.3,2.6,2.7,2.7,-2.8,2.3,2.3,0.1,2.7,2.6,-1.7,-1.7,2.6,2.5
BD4_30_35.1_C,Oman,Oman_DL,CementBurial,3,99.5,-5.16,-7.999709815,3.2,1.4,1.3,2.7,2.6,2.7,2.6,0.433,0.0167,0.0334,0.0176,0.0328,101.2,10.7,11.7,20.6,24.6,20.2,24.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,108.5,-13.15970981,3.8,2.6,2.5,3.2,2.6,2.7,2.7,3.2,2.3,2.3,6.7,2.9,2.8,4.8,4.8,2.8,2.7
