Counter_Type,Counter_Height,Dome,Section,Meter,Sample,Formation,Group,Composite_Height,Use,Microanalysis_Type,Facies,WaterDepth,Min,d13C,d18O,d13Corg,CAP13C,d34SCAS,d34Spy,Dd34S,TOC,Pyrite,SO4,Ca44_40,Ca44_42,Ca44_43,d26Mg,d25Mg,Mn_ppm,Sr_ppm,Fe_ppm,Na_ppm,Mg_ppm,Al_ppm,P_ppm,S_ppm,K_ppm,Ca_ppm,Ti_ppm,Li_ppm,Be_ppm,B_ppm,Sc_ppm,V_ppm,Cr_ppm,Ba_ppm,Cd_ppm,Cu_ppm,Ni_ppm,Pb_ppm,Zn_ppm,Y_ppm,Zr_ppm,Mg_MgCa,Sr_Ca_mmol_mol,Mg_Ca_mmol_mol,Mn_Ca_mmol_mol,U_Ca_mmol_mol,Mn_Sr_mmol_mol,Mn_Sr_ppm,Al_Acetic_ppm,Ca_Acetic,Fe_Acetic_ppm,K_Acetic_ppm,Mg_Acetic_ppm,Mn_Acetic_ppm,Na_Acetic_ppm,S_Acetic_ppm,Sr_Acetic_ppm,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation.1,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower.1,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21.1,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower,Data_Reference,Published,AgeModel,T_calc_sw1_a21
957,,GSB,MQT,4030,MQT_4030,Khufai,pre,118,0,,limestone,,CA,3.31,-10.65,-31.94866667,35.26,21.53537283,2.277550913,19.25782192,0.502,0.17296125,320,,,,,,133.388,851.248,4410,280,25380,1490,150,3087.03772,700,291820,,3.61,0.154,,0.499,100.988,66.613,,,,,,,,,0.08001261,,,,,,0.156696991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.4299617,74.44729323
1397,,GSB,MQT,4026,MQT_4026,Khufai,pre,122,0,,limestone,,CA,,,,,,,,,,,,,,,,125,,3800,1150,28900,1700,180,2280,800,244000,,3.3,0.4,12,0.3,92,13.3,,,,,,,,,0.105899597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.3674852,
1398,,GSB,MQT,4022,MQT_4022,Khufai,pre,126,0,,limestone,,CA,2.97,-8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.3050086,57.79158451
958,,GSB,MQT,4020,MQT_4020,Khufai,pre,128,0,,limestone,,CA,3.24,-9.99,-31.542,34.78,22.26181934,2.233134291,20.02868504,1.0924,0.237915313,200,,,,,,147.959,833.554,4770,270,26210,1130,170,3801.59887,550,285780,,3.435,0.144,,0.423,73.524,61.768,,,,,,,,,0.084009103,,,,,,0.177503797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.2737704,69.90318207
959,,GSB,MQT,4016,MQT_4016,Khufai,pre,132,0,,limestone,,CA,,,,,,,,,,,,,,,,129,,3600,930,28100,1500,180,2160,700,249000,,2.7,0.2,12,0.3,71,9.2,,,,,,,,,0.101407434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.2112938,
1399,,GSB,MQT,4010,MQT_4010,Khufai,pre,138,0,,limestone,,CA,3.17,-9.23,-31.77066667,34.94,21.67656508,2.105294521,19.57127055,0.585,0.269924375,300,,,,,,169.99,649.823,5360,380,28270,1430,160,3282.8661,720,317260,,3.379,0.109,,0.511,70.806,38.342,,,,,,,,,0.08181634,,,,,,0.261594311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,576.117579,64.81915521
960,,GSB,MQT,4002,MQT_4002,Khufai,pre,146,0,,limestone,,CA,,,,,,,,,,,,,,,,145,,3800,1220,37500,2000,160,2850,900,233000,,4.6,0.3,12,0.4,64,8.7,,,,,,,,,0.138632163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.992626,
72,,GSB,MQT,4000,MQT_4000,Khufai,pre,148,0,,limestone,,CA,3.18,-9.54,-31.65566667,34.83,24.23545104,4.048275711,20.18717533,0.40875,0.223689063,210,,,,,,189.685,305.545,5210,400,46620,2060,150,3992.83654,970,295550,,5.161,0.143,,0.578,68.716,70.536,,,,,,,,,0.136248064,,,,,,0.620808719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.9613877,66.87412549
1400,,GSB,MQT,3996,MQT_3996,Khufai,pre,152,0,,limestone,,CA,,,,,,,,,,,,,,,,146,,4700,1010,41000,2200,200,3260,900,218000,,5.1,0.4,15,0.4,61,9,,,,,,,,,0.158301158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.8989112,
961,,GSB,MQT,3990,MQT_3990,Khufai,pre,158,0,,limestone,,CA,3.13,-7.92,-31.43066667,34.56,23.24510333,1.555117893,21.68998544,0.4693,0.378025156,130,,,,,,183.851,264.894,6180,340,45820,2550,170,5360.70333,1010,238300,,8.736,0.221,,0.656,55.113,112.617,,,,,,,,,0.161269886,,,,,,0.69405498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.8051964,56.40938377
1401,,GSB,MQT,3984,MQT_3984,Khufai,pre,164,0,,limestone,,CA,,,,,,,,,,,,,,,,170,,6100,1320,58200,3700,180,4960,1200,184000,,12.9,0.3,16,0.7,54,11.9,,,,,,,,,0.240297275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.7114816,
1402,,GSB,MQT,3980,MQT_3980,Khufai,pre,168,0,,limestone,,CA,2.92,-8.24,-31.3828,34.31,21.8188437,-0.218742552,22.03758626,,,150,,,,,,203.949,299.009,7750,510,50900,3690,170,5142.84236,1480,254080,,12.056,0.245,,0.995,87.128,63.752,,,,,,,,,0.16689619,,,,,,0.682083148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.649005,58.42379983
962,,GSB,MQT,3976,MQT_3976,Khufai,pre,172,0,,limestone,,CA,,,,,,,,,,,,,,,,154,,5700,1260,47400,2900,190,3670,1100,216000,,10,0.3,17,0.7,76,12,,,,,,,,,0.179954442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.5865285,
963,,GSB,MQT,3970,MQT_3970,Khufai,pre,178,0,,limestone,,CA,3.23,-7.99,-32.38766667,35.62,20.94187966,0.062969058,20.87891061,1.45885,0.437082813,180,,,,,,154.219,418.415,6220,400,49210,2210,160,4182.02162,1230,326300,,5.32,0.179,,0.863,103.794,89.837,,,,,,,,,0.131048441,,,,,,0.368579042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.4928137,56.84788767
535,,GSB,MQT,3964,MQT_3964,Khufai,pre,184,0,,limestone,,CA,,,,,,,,,,,,,,,,131,,5100,710,39800,1900,150,2170,900,246000,,3.4,0.2,16,0.4,96,13.6,,,,,,,,,0.139258223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.3990989,
1403,,GSB,MQT,3960,MQT_3960,Khufai,pre,188,0,,limestone,,CA,3.16,-8.85,-32.34466667,35.51,,-0.721548159,,1.68345,0.411999688,,,,,,,164.922,359.156,5900,260,42850,1510,80,1726.86608,850,267410,,3.388,0.195,,0.491,74.224,72.648,,,,,,,,,0.138109972,,,,,,0.45919322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.3366224,62.33465433
1404,,GSB,MQT,3956,MQT_3956,Khufai,pre,192,0,,limestone,,CA,,,,,,,,,,,,,,,,155,,4400,1390,45500,2000,160,2510,1000,239000,,2.9,0.2,16,0.4,59,11.2,,,,,,,,,0.159929701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.2741458,
964,,GSB,MQT,3950,MQT_3950,Khufai,pre,198,0,,limestone,,CA,2.84,-8.85,-31.995,34.84,21.56592428,-1.162802442,22.72872672,1.0215,0.385325469,400,,,,,,226.583,352.265,6310,490,60280,2240,150,3673.04197,1150,324500,,4.981,0.126,,0.741,55.443,131.789,,,,,,,,,0.156660949,,,,,,0.643217464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.180431,62.33465433
965,,GSB,MQT,3948,MQT_3948,Khufai,pre,200,0,,limestone,,CA,,,,,,,,,,,,,,,,154,,4100,1410,43800,2100,170,2500,1000,218000,,3.2,0.3,14,0.3,38,10,,,,,,,,,0.167303285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.1491928,
966,,GSB,MQT,3940,MQT_3940,Khufai,pre,208,0,,limestone,,CA,2.59,-7.89,-30.3495,32.94,22.65659145,-2.411222356,25.0678138,0.5018,0.374375,250,,,,,,161.488,431.118,6910,450,53390,2320,160,4587.11303,1290,301740,,5.473,0.228,,0.895,49.437,111.735,,,,,,,,,0.150339312,,,,,,0.374579581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,575.0242397,56.22181952
1405,,GSB,MQT,3936,MQT_3936,Khufai,pre,212,0,,limestone,,CA,,,-32.0050047,32.01,,,,,,,,,,,,115,,5000,800,40200,2600,150,2760,1300,215000,,4.3,0.2,17,0.5,41,16.8,,,,,,,,,0.157523511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,574.9617632,
