Region,Formation,Section,sample ID,AgeModel,TIC wt%,del13CIC,OC wt%,delOC,del18O,FeHR/FeT,,siltstone,conglomerate,calcareous,diamictite,,,,,,,,,,,,,,,,,,,,0
Avalon Peninnsula,Lowermost Drook,St Mary's,06-42,579.0,0.002,-12.65,0.00,,-10.72,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-43,578.8,,,,,,0.22,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-44,578.6,0.002,-10.30,0.00,,-9.47,0.26,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-45,578.4,0.080,-7.20,0.08,,-7.30,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-46,578.2,0.180,-5.20,0.18,,-7.57,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-47,578.0,0.240,-5.40,0.24,,-18.39,,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-48,577.8,0.073,-7.10,0.07,,-18.89,,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Drook,St Mary's,06-49,577.6,0.280,-5.70,0.28,,-19.55,,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Drook ,Harbour Main,,579.8,,,,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-01,577.0,0.034,-18.54,0.03,,-19.20,0.31,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-02,576.8,0.065,-17.52,0.07,,-19.27,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-03,576.6,0.003,-12.83,0.00,,-15.55,0.34,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-04,576.4,0.035,-14.52,0.04,,-15.07,0.29,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-05,576.2,0.036,-16.40,0.04,,-16.68,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-06,576.0,0.105,-17.50,0.11,,-17.48,0.29,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-07,575.8,0.017,-14.40,0.02,,-17.88,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-08,575.6,0.002,-12.80,0.00,,-16.13,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-09,575.4,0.014,-13.95,0.01,,-17.94,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Drook ,New Bridge,06-10,575.2,0.005,-14.30,0.01,,-17.97,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,49,575.0,0.004,-6.63,0.00,,-15.50,0.31,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,50,574.8,0.003,-13.06,0.00,,,0.22,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,51,574.5,,,,,,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,52,574.3,,,,,,0.29,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,53,574.0,,,,,,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,54,573.8,,,,,,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,55,573.5,0.002,-10.35,0.00,,,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,56,573.3,0.047,-21.10,0.05,,,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,57,573.0,,,,,-7.03,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,58,572.8,,,,,,0.16,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,59,572.5,,,,,,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,60,572.3,,,,,,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,61,572.0,,,,,,0.31,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,62,571.8,2.270,,2.27,,,0.13,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,63,571.5,0.010,-19.36,0.01,,-11.23,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,64,571.3,0.012,-20.47,0.01,,-8.08,0.30,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,65,571.0,0.029,-1.85,0.03,,-16.30,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,66,570.8,,,,,,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,upper Drook,,67,570.5,0.001,,0.00,,,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,158,569.0,,,,,-17.28,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,159,568.9,,-4.70,,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Briscal,,160,568.9,,,,,,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
