SamID,Bergmann_2025_Age,,Chen_2022_Age,Meter,d13C,d18O,87Sr_86Sr,d13Corg,TOC,d34SCAS,d34Spy,Type,Min,Section,Fm,Mb,CEX,Period,Series,Stage,ConZone,GrapZone,TriZone,SSFZone,ArcZone,OstZone,AmmZone,Country,State,Town,Lat,Long,Ca,Mg,Mg_Ca,Fe,Mn,Sr,Si,Mn_Sr,Source
6018,,,553,,,,0.70842,,,,,,CA,high-certainty,Ust-Yudoma Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,1380,,,"Chen et al., 2022;Semikhatov et al.,2004;Semikhatov et al.,2003"
6018,,,553,,,,0.70841,,,,,,CA,high-certainty,Ust-Yudoma Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,,,1420,,,"Chen et al., 2022;Semikhatov et al.,2004;Semikhatov et al.,2003"
B-126,,,554.6452,,4.9,-6.9,0.70867,,,,,,CA,high-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,170,18,1150,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-122,,,555.8065,,5.3,-6.9,0.7087,,,,,,CA,high-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,260,18,3120,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-120,,,556.5807,,5.3,-7.2,0.70869,,,,,,CA,high-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,140,18,2720,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
166-04,568,,563.8766949,,-7.4,22.7,0.708673,,,,,,CA,low-certainty,Zherbinskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,919,149,458,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
72-04,,,564.5497651,,-7.8,20.7,0.708233,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2950,87,3240,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
74-04,,,564.6633802,,-7.8,20.6,0.708273,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2840,67,3560,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
163-04,,,564.7,,-9.2,20.7,0.708633,,,,,,CA,low-certainty,Zherbinskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,1870,371,606,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
75-04,,,564.7356806,,-8.3,21.1,0.708233,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2430,61,6680,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
