UID,Time_Collected,Transducer_Pressure,Sample_Weight,NuCarb_temp,Pumpover_Pressure,Initial_Sam,Balance,Vial_Location,d13C_SE_Nu,d18O_SE_Nu,D47_SE_Nu,d47_pre_SE,d47_post_SE,Bad_count,Sample
17440,2022/06/29 00:32:25,0.305,518.0,71.12,0.034756,1.4873e-08,-65.43,23.0,0.0054,0.0049,0.0368,0.03970709682436091,0.032326778952262505,7, KDW-131_8--J-A
17444,2022/06/29 06:01:25,8.758,556.0,70.51,0.035546,5.6332e-08,0.45,27.0,0.0016,0.0038,0.0151,0.015126379547620776,0.015126379547620776,0, KDW-131_8-J-C
19619,2023/05/16 03:33:56,17.731,412.0,64.46,0.055732,1.0657e-07,-5.98,11.0,0.0015,0.0028,0.0143,0.015514353595566773,0.015514353595566773,0, WS1_175_2_A
19629,2023/05/16 18:06:22,18.799,403.0,64.46,0.056999,1.097e-07,-2.62,21.0,0.0011,0.0026,0.0148,0.01580947713852828,0.01580947713852828,0, ST2_29_A
19639,2023/05/17 08:36:59,18.127,421.0,63.82,0.058296,1.0844e-07,-5.86,31.0,0.0015,0.003,0.0143,0.015056883338534192,0.015056883338534192,0, ST2_21_6_A
20708,2023/10/27 11:30:09,23.285,456.0,63.78,0.001,2.5019e-07,0.7,49.0,0.0843,0.0769,0.1283,0.05547536423314936,0.02972330123556735,11, IAEA-C1
20676,2023/10/25 14:22:30,0.152,419.0,63.78,0.001,2.1973e-08,-46.55,17.0,0.0051,0.0154,0.0247,0.027781761309446686,0.025455496016952534,2, BD1 15.5B
20695,2023/10/26 17:05:16,0.122,497.0,63.78,0.001,2.6643e-08,-35.55,36.0,0.0036,0.0134,0.0234,0.025610397654396978,0.02434058631181771,1, BD1 15.5B
20686,2023/10/26 04:43:42,0.03,411.0,63.78,0.001,2.2735e-08,-44.59,27.0,0.002,0.0076,0.0243,0.022868942876453476,0.021246316453309565,1, BD1 15.5B
5960,2018/06/16 05:55:14,0.152,468.0,70.03,0.035546,2.9641e-09,-87.09,9.0,0.016,0.029,0.076,0.062827588553427,0.04353303420757568,19,ETH-04
17480,2022/07/01 11:09:56,0.214,545.0,71.31,0.034756,9.5499e-09,-76.78,13.0,0.0038,0.0068,0.0522,0.053841072066963584,0.04087076843342593,12, KDW-131_8-J-A
17515,2022/07/03 12:17:02,0.305,595.0,70.57,0.036354,1.1414e-08,-70.94,48.0,0.0029,0.0062,0.0768,0.08311796628356313,0.05455472552544952,32, KDW-131_8-J-A
20780,2023/11/01 02:33:52,11.139,411.0,63.89,0.001,1.583e-07,-0.11,21.0,0.0012,0.0016,0.0123,0.011789122040322612,0.011789122040322612,0, WS 2.1B
20795,2023/11/02 09:40:27,7.782,443.0,63.94,0.001,1.1509e-07,-3.17,37.0,0.0276,0.0389,0.0509,0.030377797255457868,0.025247909640507594,2, MD6-S
20781,2023/11/01 04:15:35,7.355,406.0,63.89,0.001,1.1024e-07,-5.38,22.0,0.0013,0.0035,0.0188,0.01812197241517644,0.01812197241517644,0, MD6-S
20799,2023/11/02 17:38:36,8.24,447.0,63.94,0.001,1.2181e-07,0.04,42.0,0.0014,0.0024,0.0157,0.015378351785142503,0.015378351785142503,0, MD6-S
