SampName,SampCategory,SampSubCategory,SampNum,Mineralogy,Mineralogy2,Date,Time,AnalysisID,RepliicateID,MassSpec,rxnTemp,SampYN,RefYN,Bad,D47TE,AFF,ARF_ID1,ARF_ID2,ARF_ID3,d45,sd_d45,d46,sd_d46,d47,sd_d47,d48,sd_d48,d49,sd_d49,d13C_wg_VPDB,d18O_wg_VSMOW,d13C,se_13,d18O,se_18,AFF_d18O,Final_d13Ccarb,Final_d18Ocarb_VSMOW,D47,sd_D47,se_D47,D48,sd_D48,se_D48,D49,sd_D49,se_D49,SlopeEGL,SlopeETF,IntETF,D47rfac
ETH-3,Sample,NA,NA,Calcite,NA,7/12/29 19,23:14,3769,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,5.425168,NA,12.361385,NA,17.715034,NA,24.841473,NA,51.514332,NA,-3.621,25.432,1.709061,0.002,38.106653,0.004,1.0087142,1.709061,29.43436622011648,-0.100704,NA,0.010547989548971142,-0.033241,NA,NA,20.531048,NA,NA,NA,NA,NA,0.651896
ETH-2,carbSTD,IAEA-C2,NA,Calcite,NA,7/12/29 20,44:31,3770,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.301493,NA,-4.921271,NA,-11.821244,NA,-9.728678,NA,2.503582,NA,-3.621,25.432,-10.157986,0.002,20.392621,0.003,1.0087142,-10.157986,11.720334220116477,-0.519551,NA,0.01145881756856368,0.090474,NA,NA,19.112147,NA,NA,NA,NA,NA,0.225257
KDW2_131.8_A,Sample,NA,NA,Dolomite,NA,7/12/29 22,06:20,3771,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,2.596328,NA,9.592286,NA,11.889474,NA,19.277596,NA,34.029337,NA,-3.621,25.432,-1.205515,0.002,35.270668,0.004,1.0087142,-1.205515,25.39360715774618,-0.241599,NA,0.010636466627594989,0.001003,NA,NA,12.011569,NA,NA,NA,NA,NA,0.509465
MDE_293.4,Sample,NA,NA,Dolomite,NA,7/12/30 00,05:05,3772,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,-4.257037,NA,8.352609,NA,3.545915,NA,16.775021,NA,37.12287,NA,-3.621,25.432,-8.467128,0.002,34.014034,0.004,1.0087142,-8.467128,24.136973157746183,-0.236175,NA,0.01264325561434858,-1.6e-05,NA,NA,24.959716,NA,NA,NA,NA,NA,0.512687
ETH-1,Sample,NA,NA,Calcite,NA,7/12/30 02,04:18,3773,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,5.702795,NA,11.844637,NA,17.049497,NA,23.684304,NA,46.878364,NA,-3.621,25.432,2.024012,0.002,37.575548,0.005,1.0087142,2.024012,28.903261220116477,-0.537571,NA,0.013692623664800016,-0.141849,NA,NA,16.752419,NA,NA,NA,NA,NA,0.214858
ETH-4,carbSTD,ETH-4,NA,Calcite,NA,7/12/30 03,25:25,3774,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.356649,NA,-5.008018,NA,-11.723446,NA,-9.904526,NA,1.856434,NA,-3.621,25.432,-10.213588,0.002,20.303699,0.003,1.0087142,-10.213588,11.63141222011648,-0.277707,NA,0.008381227096337238,0.087242,NA,NA,18.689029,NA,NA,NA,NA,NA,0.467125
KDW2_59.0,Sample,NA,NA,Dolomite,NA,7/12/30 04,46:31,3775,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,7.008441,NA,11.168419,NA,18.050456,NA,22.413984,NA,43.309494,NA,-3.621,25.432,3.440899,0.002,36.878348,0.005,1.0087142,3.440899,27.001287157746184,-0.235077,NA,0.009962198865552654,-0.046494,NA,NA,13.216664,NA,NA,NA,NA,NA,0.517613
KDW2_64.8,carbSTD,ETH-4,NA,Dolomite,NA,7/12/30 06,07:33,3776,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,6.035376,NA,13.103271,NA,18.978893,NA,26.25182,NA,46.341292,NA,-3.621,25.432,2.332483,0.001,38.8668,0.002,1.0087142,2.332483,28.98973915774618,-0.205762,NA,0.01264729696451834,-0.123132,NA,NA,13.394171,NA,NA,NA,NA,NA,0.547172
ETH-3,Sample,NA,NA,Calcite,NA,7/12/30 07,29:07,3777,NA,Nu_Perspective,70,Y,N,0,0.2085,0,20171229,NA,NA,5.432037,NA,12.370899,NA,17.690813,NA,24.878489,NA,49.011852,NA,-3.621,25.432,1.716036,0.002,38.116403,0.004,1.0087142,1.716036,29.444116220116477,-0.140787,NA,0.009510943579838647,-0.015919,NA,NA,18.076091,NA,NA,NA,NA,NA,0.611807
ETH-2,carbSTD,ETH-3,NA,Calcite,NA,7/12/30 08,50:09,3778,NA,Nu_Perspective,70,NA,Y,0,0.2085,0,20171229,NA,NA,-6.308849,NA,-4.921444,NA,-11.849316,NA,-9.787109,NA,2.885931,NA,-3.621,25.432,-10.165822,0.002,20.39246,0.005,1.0087142,-10.165822,11.720173220116479,-0.54014,NA,0.014504708183792913,0.031812,NA,NA,19.509223,NA,NA,NA,NA,NA,0.204661
