Sample,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower
CYC17-49B C,1,94.4,6.02,4.013612326966665,2.5,2.0,2.1,3.9,4.2,3.8,4.1,0.6298,0.0315,0.063,,0.0618,13.5,9.0,10.0,17.3,21.1,17.0,20.7,,,,,Calcite,,,,,,,,,,Chile,,,15.5,10.033612326966665,0.5,4.8,4.9,-0.6,5.0,5.0,5.0,1.5,4.3,4.3,4.0,4.3,4.0,2.5,2.5,4.1,3.8
CYC17-49B D,1,91.6,4.36,-0.9431253442396357,-2.4,2.0,2.0,3.8,4.1,3.8,4.0,0.6293,0.0309,0.0618,,0.0607,13.7,8.9,9.8,17.0,20.7,16.7,20.3,,,,,Calcite,,,,,,,,,,Chile,,,15.6,3.4168746557603646,-4.4,4.7,4.7,-5.5,4.9,4.8,4.8,-3.4,4.2,4.2,-0.9,4.1,3.9,-2.4,-2.4,4.0,3.8
CYC18-14B A,1,100.0,5.95,1.7340950026350053,1.8,2.0,2.1,4.0,4.2,3.9,4.2,0.6061,0.0311,0.0622,,0.061,20.9,9.6,10.7,18.4,22.6,18.0,22.1,,,,,Calcite,,,,,,,,,,Chile,,,23.2,7.684095002635005,0.0,4.8,4.7,-1.0,4.9,4.9,4.9,0.9,4.2,4.3,3.3,4.3,4.0,1.8,1.8,4.2,3.9
CYC18-14B B,1,90.0,5.75,1.2781915377686666,2.8,2.1,2.1,4.1,4.3,4.0,4.2,0.5843,0.0309,0.0618,,0.0606,28.3,10.3,11.4,19.6,24.3,19.2,23.8,,,,,Calcite,,,,,,,,,,Chile,,,30.9,7.028191537768667,1.3,4.8,4.7,0.3,4.9,4.8,4.8,1.9,4.3,4.2,4.3,4.5,4.0,2.8,2.8,4.2,4.0
G3_129_f_A,4,93.8,5.34,-4.177880768880048,4.8,1.3,1.3,2.6,2.6,2.6,2.5,0.4608,0.016,0.032,0.0155,0.0314,83.8,9.0,9.7,17.3,20.2,17.0,19.8,,,,,Dolomite,,,,,,,,,,Svalbard,Svalbard_DL,GrusSvan,89.8,1.1621192311199522,5.5,2.5,2.5,4.8,2.5,2.6,2.6,5.1,2.2,2.2,8.2,2.7,2.5,6.4,6.4,2.6,2.5
IAEA-C1,23,90.7,2.33,-2.058633822104066,22.7,0.7,0.8,1.4,1.6,1.4,1.6,0.3104,0.0066,0.0132,0.018,0.013,226.8,10.2,10.9,19.9,22.5,19.6,22.2,0.1746,0.0338,0.0952,0.0668,Calcite,Synthetic_or_standard,,,n,Standard,,,IAEA-C1,,Standard,,,249.1,0.271366177895934,19.6,1.0,1.1,19.2,1.0,1.1,1.1,17.9,0.9,0.9,25.1,1.5,1.5,22.7,22.7,1.6,1.4
KDW2_101.9_A_A,4,89.4,1.33,-3.6637768616903514,0.4,1.3,1.2,2.5,2.5,2.5,2.4,0.5218,0.0155,0.031,0.0289,0.0304,52.9,6.7,7.1,12.9,14.7,12.7,14.4,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,56.8,-2.3337768616903514,1.2,2.4,2.3,0.4,2.4,2.5,2.5,1.4,2.1,2.2,3.9,2.4,2.2,2.2,2.2,2.3,2.2
KDW2_104.8_B_A,1,83.8,1.78,-2.422167425458642,1.5,2.4,2.3,4.8,4.7,4.7,4.7,0.5239,0.0296,0.0592,,0.0582,52.0,12.3,13.8,23.3,29.6,22.9,29.1,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,55.8,-0.642167425458642,2.3,4.6,4.5,1.5,4.7,4.7,4.7,2.5,4.1,4.1,5.0,4.6,4.2,3.3,3.3,4.5,4.1
KDW2_107.3_A_A,1,96.3,2.55,-2.577368604987603,0.7,2.4,2.4,4.7,4.8,4.6,4.7,0.5311,0.0297,0.0594,,0.0583,48.9,12.0,13.5,22.7,28.8,22.3,28.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,52.5,-0.027368604987603184,1.6,4.6,4.6,0.7,4.7,4.6,4.6,1.8,4.1,4.1,4.3,4.5,4.2,2.6,2.6,4.4,4.0
KDW2_119.1_A_A,7,81.8,1.02,-3.3824747237941044,-0.7,1.0,1.0,1.9,1.9,1.9,1.9,0.5389,0.012,0.024,0.0506,0.0236,45.6,4.9,5.1,9.5,10.4,9.3,10.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,49.1,-2.3624747237941044,0.2,1.8,1.9,-0.7,1.9,1.9,1.9,0.4,1.7,1.6,2.9,1.8,1.7,1.3,1.3,1.7,1.7
