Sample,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower
SB1_50_A,4,53.3,3.95,2.1174670757635665,2.4,1.3,1.3,2.5,2.5,2.5,2.5,0.5687,0.0157,0.0314,0.0256,0.0308,33.9,5.7,6.0,11.0,12.3,10.8,12.1,0.3069,0.0482,0.0144,0.095,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,36.8,6.067467075763567,3.4,2.4,2.5,2.4,2.5,2.5,2.5,3.9,2.1,2.2,6.3,2.2,2.2,4.7,4.7,2.2,2.1
SB1_51_A,4,51.2,3.83,2.5151700983065415,2.8,1.2,1.3,2.5,2.6,2.4,2.5,0.5684,0.0157,0.0314,0.0127,0.0309,34.0,5.7,6.0,11.0,12.3,10.8,12.1,0.3118,0.0489,0.0902,0.0965,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,36.9,6.345170098306541,3.8,2.4,2.4,2.8,2.5,2.4,2.4,4.3,2.2,2.2,6.7,2.3,2.1,5.1,5.1,2.2,2.1
SB1_67_A,1,99.4,4.33,-0.15235017484753424,6.2,2.4,2.4,4.8,4.9,4.8,4.8,0.4935,0.03,0.06,,0.0589,66.2,14.1,16.1,26.5,34.7,26.1,33.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,70.9,4.177649825152466,7.0,4.6,4.6,6.2,4.8,4.8,4.8,6.9,4.1,4.2,9.6,4.9,4.4,7.9,7.9,4.7,4.4
SB1_69_A,5,96.6,5.04,6.142997669796086,6.2,1.3,1.2,2.5,2.5,2.4,2.4,0.5717,0.0154,0.0308,0.0217,0.0303,32.8,5.5,5.8,10.7,11.9,10.5,11.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,35.6,11.182997669796087,7.2,2.3,2.4,6.2,2.4,2.4,2.4,7.7,2.1,2.1,10.1,2.2,2.1,8.5,8.5,2.1,2.0
SB1_98_A,6,81.1,3.75,3.523977765244809,3.3,1.1,1.0,2.2,2.1,2.1,2.1,0.5755,0.0133,0.0266,0.0312,0.0262,31.4,4.7,4.9,9.2,10.1,9.0,9.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,34.2,7.273977765244809,4.2,2.1,2.0,3.3,2.1,2.1,2.1,4.8,1.8,1.8,7.2,1.9,1.8,5.6,5.6,1.8,1.7
ST1_277_A,5,93.7,3.57,2.3211686238953333,3.7,1.2,1.3,2.5,2.5,2.4,2.5,0.5547,0.0154,0.0308,0.0153,0.0303,39.2,5.8,6.2,11.4,12.7,11.2,12.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,42.4,5.891168623895333,4.7,2.3,2.4,3.7,2.5,2.4,2.4,5.1,2.1,2.2,7.5,2.2,2.2,5.9,5.9,2.1,2.1
ST2_24.6_A,1,93.4,2.96,1.3996616204421113,4.2,2.3,2.4,4.6,4.7,4.5,4.6,0.5369,0.0287,0.0574,,0.0564,46.4,11.3,12.7,21.6,27.0,21.2,26.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,49.9,4.359661620442111,5.1,4.5,4.4,4.2,4.6,4.5,4.5,5.4,4.0,4.0,7.9,4.3,4.1,6.2,6.2,4.2,3.9
ST2_25.5_A,4,51.9,3.0,1.855565085308443,1.7,1.2,1.3,2.5,2.5,2.4,2.5,0.5739,0.0156,0.0312,0.0115,0.0306,32.0,5.5,5.8,10.7,12.0,10.5,11.8,0.2807,0.0461,0.0461,0.0909,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,34.8,4.855565085308443,2.7,2.4,2.4,1.7,2.5,2.4,2.4,3.3,2.1,2.2,5.7,2.2,2.2,4.1,4.1,2.1,2.1
ST4_42.3_A,3,57.4,4.67,4.028381598713946,4.7,1.5,1.4,2.9,2.8,2.8,2.8,0.5643,0.0178,0.0356,0.0187,0.0349,35.6,6.5,6.9,12.6,14.3,12.3,14.0,0.3409,0.0588,0.0145,0.116,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,38.5,8.698381598713947,5.6,2.8,2.7,4.7,2.8,2.8,2.8,6.1,2.5,2.4,8.5,2.6,2.4,6.9,6.9,2.5,2.4
ST4_43.3_A,1,36.7,4.65,3.911980714067219,4.9,2.3,2.3,4.6,4.7,4.5,4.6,0.5598,0.0288,0.0576,,0.0565,37.3,10.5,11.6,19.9,24.7,19.6,24.2,0.3229,0.0722,,0.1425,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,40.3,8.56198071406722,5.9,4.4,4.5,4.9,4.6,4.5,4.5,6.3,4.0,4.0,8.7,4.3,3.9,7.1,7.1,4.1,3.8
TH_KB1_A,1,77.1,2.35,0.8952577869729739,6.9,2.4,2.4,4.8,4.9,4.7,4.8,0.4977,0.0299,0.0598,,0.0588,64.1,13.8,15.7,26.0,33.8,25.6,33.2,,,,,Dolomite,,,,,,,,,,Greenland,,,68.7,3.245257786972974,7.7,4.7,4.6,6.9,4.8,4.7,4.7,7.6,4.2,4.1,10.4,4.8,4.5,8.6,8.6,4.7,4.3
TH_KB2_A,1,90.2,1.83,-0.3657517966998592,6.5,2.4,2.4,4.8,4.8,4.7,4.8,0.4869,0.0298,0.0596,,0.0585,69.6,14.4,16.5,27.1,35.5,26.6,34.8,,,,,Dolomite,,,,,,,,,,Greenland,,,74.5,1.464248203300141,7.3,4.6,4.6,6.5,4.8,4.7,4.7,7.1,4.2,4.1,9.9,5.0,4.4,8.2,8.2,4.7,4.4
TH_KB3_A,1,86.6,1.9,0.36175373234216146,8.4,2.4,2.4,4.8,4.8,4.8,4.7,0.4729,0.0298,0.0596,,0.0586,77.0,15.3,17.6,28.7,38.2,28.3,37.4,,,,,Dolomite,,,,,,,,,,Greenland,,,82.4,2.2617537323421613,9.1,4.7,4.6,8.4,4.7,4.8,4.8,8.8,4.2,4.1,11.8,5.1,4.6,10.0,10.0,4.9,4.4
TH_KB6_A,1,95.0,1.8,0.5945555016356031,9.5,2.4,2.4,4.8,4.9,4.7,4.8,0.4617,0.0298,0.0596,,0.0586,83.3,16.1,18.6,30.2,40.5,29.8,39.7,,,,,Dolomite,,,,,,,,,,Greenland,,,89.2,2.3945555016356033,10.3,4.6,4.7,9.5,4.8,4.7,4.7,9.9,4.1,4.2,13.0,5.1,4.7,11.1,11.1,5.0,4.5
WBT_6_A,3,94.5,1.52,-2.664669268472649,2.0,1.4,1.4,2.7,2.8,2.7,2.7,0.514,0.0172,0.0344,0.0118,0.0338,56.4,7.6,8.2,14.7,17.0,14.5,16.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,60.5,-1.144669268472649,2.9,2.6,2.7,2.0,2.7,2.7,2.7,2.9,2.4,2.4,5.5,2.7,2.5,3.8,3.8,2.6,2.5
WBT_6_B,3,93.4,-7.87,-9.314288965083152,-7.2,1.2,1.1,2.3,2.3,2.3,2.3,0.5756,0.0172,0.0344,0.0244,0.0338,31.4,6.0,6.4,11.7,13.2,11.5,13.0,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Cement,34.1,-17.18428896508315,-8.6,2.6,2.6,-9.6,2.7,2.7,2.7,-8.1,2.4,2.3,-5.7,2.4,2.3,-7.2,-7.2,2.3,2.3
WS1_174.3_A,3,58.2,2.32,-0.6179537134344313,2.0,1.4,1.4,2.7,2.7,2.7,2.7,0.5395,0.017,0.034,0.02,0.0334,45.3,6.8,7.3,13.2,15.0,13.0,14.8,0.245,0.0497,0.001,0.0981,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,48.8,1.7020462865655686,2.9,2.6,2.6,2.0,2.7,2.7,2.7,3.2,2.3,2.4,5.7,2.5,2.5,4.0,4.0,2.4,2.4
WS1_178.9_A,1,97.2,1.64,-2.257266172209116,3.8,2.3,2.3,4.6,4.6,4.5,4.5,0.4973,0.0284,0.0568,,0.0557,64.3,13.1,14.9,24.9,31.9,24.4,31.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,68.9,-0.617266172209116,4.6,4.4,4.4,3.8,4.5,4.5,4.5,4.5,3.9,3.9,7.2,4.6,4.2,5.5,5.5,4.4,4.1
WS2_7.3_A,1,96.4,1.61,-4.071179957953885,0.8,2.3,2.3,4.5,4.6,4.5,4.5,0.5116,0.0283,0.0566,,0.0556,57.5,12.4,13.9,23.4,29.8,23.1,29.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,61.7,-2.4611799579538847,1.6,4.4,4.3,0.8,4.5,4.5,4.5,1.7,3.9,3.9,4.3,4.4,4.1,2.6,2.6,4.3,4.0
WS2_9.2_A,5,98.0,2.37,-1.2290583578297243,-0.9,1.1,1.1,2.3,2.2,2.2,2.2,0.5684,0.014,0.028,0.0317,0.0276,34.0,5.1,5.3,9.9,10.9,9.7,10.8,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,36.9,1.1409416421702758,0.0,2.2,2.1,-0.9,2.2,2.2,2.2,0.5,2.0,1.9,2.9,2.1,1.9,1.4,1.4,1.9,1.9
WS4_25.8_A,4,51.3,0.59,-0.9962565885362757,1.4,1.2,1.2,2.4,2.4,2.3,2.4,0.5422,0.015,0.03,0.0355,0.0294,44.2,6.0,6.3,11.6,13.0,11.4,12.7,0.2565,0.0428,0.0144,0.0845,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,47.6,-0.4062565885362758,2.3,2.3,2.3,1.4,2.4,2.3,2.3,2.6,2.1,2.0,5.1,2.2,2.1,3.4,3.4,2.2,2.0
WS4_30.0_A,5,89.2,3.6,1.9525658225140472,2.4,1.2,1.2,2.3,2.4,2.3,2.3,0.5665,0.0145,0.029,0.0088,0.0285,34.7,5.3,5.6,10.3,11.4,10.1,11.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,37.6,5.5525658225140475,3.4,2.2,2.3,2.4,2.3,2.3,2.3,3.9,2.0,2.0,6.3,2.1,2.0,4.7,4.7,2.0,2.0
WS4_41.6_A,1,83.7,4.07,1.2735606620748252,4.3,2.3,2.3,4.6,4.7,4.5,4.6,0.5347,0.0288,0.0576,,0.0565,47.3,11.5,12.9,21.8,27.4,21.4,26.8,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,50.9,5.343560662074825,5.2,4.4,4.4,4.3,4.6,4.5,4.5,5.4,4.0,3.9,7.9,4.4,4.0,6.2,6.2,4.3,3.9
WS4_44.2_A,4,91.3,4.01,2.922573194570075,3.1,1.3,1.2,2.6,2.5,2.5,2.5,0.5705,0.0158,0.0316,0.0265,0.031,33.2,5.7,6.0,11.0,12.3,10.8,12.1,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,36.1,6.932573194570075,4.0,2.5,2.4,3.1,2.5,2.5,2.5,4.6,2.1,2.2,7.0,2.2,2.2,5.4,5.4,2.2,2.1
WS4_49.3_A,1,95.1,3.66,-0.11354987996529396,4.5,2.3,2.3,4.6,4.6,4.5,4.6,0.5147,0.0286,0.0572,,0.0562,56.1,12.3,13.9,23.4,29.7,23.0,29.1,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,60.2,3.5464501200347063,5.4,4.4,4.4,4.5,4.6,4.5,4.5,5.4,4.0,3.9,8.0,4.5,4.1,6.3,6.3,4.4,4.0
WS4_53.7_B,3,55.4,2.92,-0.6858542294783466,1.4,1.4,1.3,2.8,2.7,2.7,2.7,0.5469,0.0171,0.0342,0.0065,0.0335,42.3,6.6,7.1,12.9,14.7,12.6,14.4,0.2341,0.0495,0.0392,0.0977,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,45.6,2.2341457705216534,2.3,2.6,2.7,1.4,2.7,2.7,2.7,2.6,2.3,2.3,5.0,2.6,2.3,3.4,3.4,2.4,2.3
WS4_54.4_A,5,90.7,2.91,1.5160625050888321,2.8,1.2,1.1,2.3,2.3,2.3,2.3,0.5564,0.0144,0.0288,0.0143,0.0282,38.6,5.4,5.7,10.6,11.8,10.4,11.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,BuahSirab,41.7,4.426062505088832,3.7,2.2,2.2,2.8,2.3,2.3,2.3,4.1,2.0,1.9,6.6,2.0,2.0,4.9,4.9,2.0,1.9
WS_2.1_A,3,82.8,-10.46,-8.344281593027125,6.1,1.5,1.5,2.9,3.0,2.9,3.0,0.4141,0.0171,0.0342,0.0277,0.0336,114.6,12.1,13.4,23.2,28.3,22.9,27.8,0.2974,0.0765,0.1036,0.1509,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,123.0,-18.804281593027127,5.0,2.6,2.7,4.3,2.8,2.7,2.7,4.2,2.3,2.4,8.0,3.2,2.9,6.1,6.1,3.0,2.9
WS_2.1_B,2,59.1,-10.42,-8.334581519306564,1.1,1.6,1.6,3.2,3.3,3.1,3.3,0.4747,0.0208,0.0416,0.0086,0.0408,76.0,10.8,11.9,20.7,25.1,20.3,24.6,0.2544,0.0889,0.0095,0.1753,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,81.4,-18.754581519306562,0.2,3.2,3.2,-0.5,3.2,3.3,3.3,-0.0,2.8,2.9,2.9,3.4,3.2,1.1,1.1,3.3,3.1
WS_2.6,3,91.4,-10.47,-8.392781961629924,2.5,1.3,1.4,2.7,2.9,2.6,2.8,0.4557,0.0171,0.0342,0.0026,0.0336,86.8,9.8,10.7,18.8,22.3,18.5,21.9,0.1867,0.073,0.0729,0.1441,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,93.0,-18.862781961629924,1.7,2.6,2.7,0.9,2.7,2.7,2.7,1.2,2.4,2.3,4.4,2.9,2.8,2.5,2.5,2.8,2.6
WS_5.4,3,93.7,-10.26,-8.635283804643931,6.8,1.5,1.5,3.0,3.2,2.9,3.1,0.4025,0.0171,0.0342,0.0184,0.0336,123.5,13.0,14.4,24.8,30.5,24.4,29.9,0.1326,0.076,0.032,0.15,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,132.7,-18.89528380464393,5.6,2.6,2.7,5.0,2.7,2.7,2.7,4.7,2.4,2.4,8.8,3.2,3.0,6.8,6.8,3.1,2.9
WS_7.7_A,4,82.0,-10.18,-8.528582993717768,-1.5,1.1,1.1,2.2,2.3,2.2,2.2,0.506,0.0151,0.0302,0.0062,0.0296,60.1,6.9,7.4,13.4,15.3,13.2,15.0,0.2408,0.0641,0.0826,0.1264,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,64.5,-18.70858299371777,-2.4,2.3,2.3,-3.2,2.3,2.4,2.4,-2.4,2.0,2.1,0.2,2.3,2.2,-1.5,-1.5,2.2,2.2
WS_7.7_B,3,83.8,-10.2,-8.24728085582152,2.5,1.4,1.4,2.7,2.8,2.6,2.8,0.4577,0.0171,0.0342,0.0147,0.0336,85.7,9.7,10.5,18.6,22.1,18.3,21.7,0.1716,0.0736,0.0171,0.1452,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,91.7,-18.447280855821518,1.6,2.7,2.6,0.9,2.7,2.7,2.7,1.2,2.4,2.3,4.4,2.8,2.8,2.5,2.5,2.8,2.6
