UID,Session,Sample,d45,d46,d47,d48,d49
19317,20230210,ETH-4,-7.320246,-5.616682,-13.460065,-11.319585,-5.834653
19319,20230210,ETH-1,5.096695,11.080871,15.568657,21.965545,26.931419
19311,20230210,ETH-1,4.696695,11.147373,15.188191,22.013102,29.246359
19281,20230210,ETH-4,-7.316401,-5.631674,-13.493669,-11.416256,-15.627198
19304,20230210,KDW2_70.9_A,6.258682,10.393979,16.374747,20.789885,39.908156
19316,20230210,ETH-3,4.448139,11.748812,15.908064,23.631776,25.083512
19303,20230210,KDW2_51.0_A,5.659992,11.807876,17.193871,23.669630,42.003184
19321,20230210,IAEA-C2,-4.881277,4.227187,-1.164274,8.379897,-7.179752
19302,20230210,ETH-3,4.436076,11.713004,15.842383,23.343593,34.044033
19314,20230210,TH_KB1_A,5.230598,15.191047,20.015203,30.443160,35.920297
19299,20230210,KDW2_80.4_A,4.922275,11.456695,16.010090,22.769115,24.617162
19288,20230210,KDW2_119.1_A_A,3.862357,10.881569,14.376953,21.533641,25.201106
19280,20230210,KDW2_130.6_A_B,1.488136,9.297941,10.300657,18.537021,17.527882
19286,20230210,ETH-2,-7.165923,-5.418601,-13.316716,-11.053359,-24.822731
19298,20230210,KDW2_67.5_A,6.029620,11.093863,16.823762,22.070531,41.154421
19292,20230210,IAEA-C2,-4.870891,4.220122,-1.170670,8.311950,-9.967384
19315,20230210,SB1_69_A,7.948616,20.687001,28.370069,41.560963,51.337996
19295,20230210,KDW2_95.1_A,4.652568,10.624003,14.911329,21.291028,-91.256326
19293,20230210,KDW2_101.9_A_A,4.114992,10.566312,14.319850,21.156747,39.907713
19297,20230210,ETH-2,-7.158098,-5.446615,-13.389987,-11.081227,-74.895664
19309,20230210,TH_KB2_A,4.701499,13.925349,18.200485,27.777042,42.525765
19301,20230210,ETH-4,-7.316729,-5.616799,-13.497854,-11.279804,-52.299190
19274,20230210,ETH-2,-7.187694,-5.450224,-13.406464,-11.073125,-23.173904
19291,20230210,ETH-3,4.432481,11.667136,15.787864,23.338391,51.269948
19285,20230210,KDW2_55.7_A,5.594272,10.686560,15.969777,21.220988,29.111052
19320,20230210,SB1_67_A,7.052119,14.146204,20.884261,28.392075,45.466323
19276,20230210,IAEA-C2,-4.881802,4.217679,-1.177020,8.494813,-0.250343
19308,20230210,ST1_277_A,6.450431,16.718370,22.840641,33.424113,42.985383
19313,20230210,KDW2_63.0_A,5.425880,10.862147,15.965472,21.854314,46.573451
19306,20230210,ETH-4,-7.320985,-5.608493,-13.466294,-11.200603,-17.609152
19294,20230210,KDW2_130.2_A_A,1.834910,9.335812,10.742447,18.550927,-11.266233
19279,20230210,KDW2_26.5_A,6.455707,9.966209,16.107291,19.749915,35.953880
19273,20230210,IAEA-C1,4.687391,11.132580,15.264649,22.375038,72.955553
